transaction_id,customer_id,date,amount,product_id
T411,C1016,2023-04-13,44.63,39
T412,C1154,2023-11-26,56.27,41
T413,C1061,2024-05-14,160.28,38
T414,C1149,2023-12-19,23.17,41
T415,C1120,2023-10-08,35.43,19
T416,C1118,2024-06-30,36.79,39
T417,C1021,2023-04-17,129.3,18
T418,C1268,2023-04-06,44.01,38
T419,C1127,2024-01-24,47.56,33
T420,C1270,2024-05-10,71.86,23
T421,C1069,2023-06-04,2.71,5
T422,C1253,2023-06-01,97.61,21
T423,C1258,2023-11-02,55.45,34
T424,C1232,2024-03-27,76.41,4
T425,C1095,2023-06-14,14.07,34
T426,C1201,2024-04-22,97.5,32
T427,C1114,2023-10-27,82.08,38
T428,C1290,2024-02-13,187.71,21
T429,C1240,2023-12-31,51.99,13
T430,C1123,2023-10-06,110.9,34
T431,C1167,2023-11-08,89.63,17
T432,C1276,2024-07-31,52.35,28
T433,C1015,2023-08-18,12.86,12
T434,C1062,2024-07-02,90.88,49
T435,C1065,2024-04-03,54.22,22
T436,C1006,2023-04-16,125.11,42
T437,C1183,2024-05-21,56.11,32
T438,C1205,2023-08-11,18.42,43
T439,C1059,2023-04-15,57.13,23
T440,C1223,2023-05-27,57.3,16
T441,C1074,2023-03-21,70.56,44
T442,C1264,2023-07-16,79.65,16
T443,C1186,2023-03-07,53.8,29
T444,C1142,2023-11-12,15.1,22
T445,C1148,2024-07-22,22.17,39
T446,C1054,2024-07-13,55.31,27
T447,C1080,2024-06-30,56.09,48
T448,C1098,2023-05-22,99.0,3
T449,C1167,2023-05-14,58.99,40
T450,C1142,2024-01-29,95.54,36
T451,C1190,2024-07-16,63.03,11
T452,C1237,2024-04-24,42.61,42
T453,C1011,2023-05-01,139.23,17
T454,C1248,2024-03-03,52.05,12
T455,C1082,2023-10-21,51.44,3
T456,C1034,2023-09-14,60.51,2
T457,C1092,2023-10-16,93.65,20
T458,C1230,2023-11-13,46.21,28
T459,C1263,2024-06-14,62.58,22
T460,C1227,2024-04-04,36.38,26
T461,C1015,2023-01-24,70.41,16
T462,C1030,2024-03-18,9.26,15
T463,C1104,2023-07-02,35.19,19
T464,C1003,2023-07-15,38.74,47
T465,C1058,2023-12-14,48.15,10
T466,C1077,2024-07-24,41.29,48
T467,C1208,2023-02-08,93.87,41
T468,C1182,2023-10-26,81.98,1
T469,C1243,2023-05-18,28.06,20
T470,C1008,2024-06-13,62.44,2
T471,C1017,2023-09-27,117.8,1
T472,C1216,2024-05-10,37.0,40
T473,C1258,2024-05-25,44.5,22
T474,C1192,2023-02-28,74.03,38
T475,C1208,2024-03-17,20.25,18
T476,C1291,2024-04-03,51.58,34
T477,C1065,2024-04-25,109.21,9
T478,C1221,2024-07-26,137.5,22
T479,C1274,2024-03-17,29.45,35
T480,C1272,2024-04-28,105.17,48
T481,C1087,2024-02-15,24.29,21
T482,C1010,2023-06-21,152.45,12
T483,C1236,2024-05-07,76.21,39
T484,C1040,2024-02-11,51.63,30
T485,C1022,2024-01-31,45.48,31
T486,C1176,2024-07-18,78.07,15
T487,C1136,2024-03-02,126.03,47
T488,C1218,2023-07-16,80.94,12
T489,C1151,2023-06-24,106.35,17
T490,C1056,2023-07-10,99.19,10
T491,C1268,2023-04-08,95.16,2
T492,C1131,2023-02-17,163.63,20
T493,C1250,2024-03-14,106.25,9
T494,C1191,2024-03-30,61.86,40
T495,C1163,2023-04-07,72.16,38
T496,C1081,2023-08-17,21.22,15
T497,C1015,2024-06-17,18.1,10
T498,C1019,2024-04-30,47.03,35
T499,C1128,2023-12-13,58.36,30
T500,C1141,2024-07-17,46.92,14
T501,C1112,2023-07-11,51.68,6
T502,C1254,2024-05-04,103.33,9
T503,C1298,2024-06-27,69.06,42
T504,C1027,2023-12-10,16.23,49
T505,C1204,2023-03-31,89.21,19
T506,C1219,2023-06-20,87.68,34
T507,C1121,2023-10-26,59.1,15
T508,C1116,2023-06-12,66.88,40
T509,C1109,2023-02-23,41.41,44
T510,C1121,2023-04-09,75.67,5
T511,C1230,2024-07-13,42.36,35
T512,C1268,2023-08-10,54.59,16
T513,C1028,2023-11-30,95.57,30
T514,C1041,2023-09-12,61.61,2
T515,C1245,2024-04-11,59.63,45
T516,C1038,2023-02-28,125.88,40
T517,C1201,2023-06-13,50.18,40
T518,C1019,2023-12-06,103.26,10
T519,C1130,2024-04-10,68.41,1
T520,C1011,2023-09-25,42.19,47
T521,C1213,2024-02-12,44.62,45
T522,C1168,2024-04-09,80.82,3
T523,C1119,2024-01-09,139.92,10
T524,C1208,2024-04-20,32.91,20
T525,C1042,2024-07-05,26.58,36
T526,C1190,2023-05-07,122.7,48
T527,C1125,2023-09-09,93.21,15
T528,C1125,2023-05-12,66.93,19
T529,C1015,2023-08-29,20.65,15
T530,C1252,2023-01-02,105.5,8
T531,C1026,2024-02-06,20.15,21
T532,C1092,2023-05-17,95.3,20
T533,C1131,2024-04-29,50.43,1
T534,C1216,2024-02-22,59.95,35
T535,C1247,2023-07-14,45.74,42
T536,C1029,2023-09-21,33.55,43
T537,C1061,2024-01-24,45.23,14
T538,C1112,2023-08-30,80.58,12
T539,C1150,2023-05-02,12.18,32
T540,C1039,2023-01-26,21.59,8
T541,C1293,2023-11-16,86.71,8
T542,C1085,2023-11-05,68.63,4
T543,C1248,2024-03-22,149.37,5
T544,C1231,2023-03-17,24.83,15
T545,C1270,2023-02-07,30.47,1
T546,C1270,2024-03-03,55.58,43
T547,C1202,2024-02-27,61.45,24
T548,C1092,2024-04-08,67.21,21
T549,C1176,2023-01-09,65.98,21
T550,C1054,2024-01-16,86.2,30
T551,C1174,2024-07-09,14.82,36
T552,C1062,2024-03-18,65.49,9
T553,C1180,2023-09-29,41.0,22
T554,C1221,2023-10-03,38.6,8
T555,C1139,2023-08-26,137.37,25
T556,C1232,2023-02-01,47.17,43
T557,C1108,2024-02-22,111.19,28
T558,C1159,2023-11-09,202.23,1
T559,C1071,2023-10-31,46.95,8
T560,C1108,2024-06-24,57.89,10
T561,C1019,2024-02-28,54.98,19
T562,C1281,2024-07-10,62.63,11
T563,C1110,2023-02-19,124.56,41
T564,C1203,2024-07-05,94.18,27
T565,C1230,2023-11-23,62.62,49
T566,C1173,2023-08-22,59.45,8
T567,C1165,2023-11-20,32.85,24
T568,C1240,2023-01-22,71.05,3
T569,C1049,2024-06-24,24.59,16
T570,C1027,2024-01-01,34.91,15
T571,C1244,2023-01-23,61.0,42
T572,C1263,2024-06-13,35.8,44
T573,C1012,2023-09-20,20.7,27
T574,C1161,2023-03-10,52.89,6
T575,C1279,2024-01-02,28.86,3
T576,C1134,2023-02-09,78.19,6
T577,C1195,2023-11-16,64.15,8
T578,C1110,2024-03-17,22.9,14
T579,C1166,2023-02-13,71.07,32
T580,C1100,2024-04-03,84.05,35
T581,C1123,2023-12-11,63.66,7
T582,C1238,2023-07-08,50.15,42
T583,C1247,2023-05-09,43.32,26
T584,C1064,2023-01-07,149.84,24
T585,C1002,2023-04-24,62.72,48
T586,C1286,2023-06-14,58.96,25
T587,C1004,2024-05-24,47.75,26
T588,C1157,2023-10-25,25.62,6
T589,C1156,2023-04-25,41.37,23
T590,C1189,2024-03-06,79.22,35
T591,C1089,2023-09-21,69.25,40
T592,C1039,2024-04-29,68.66,44
T593,C1120,2024-03-11,61.65,26
T594,C1291,2024-06-25,31.82,28
T595,C1160,2024-02-15,59.15,42
T596,C1134,2023-03-05,96.71,39
T597,C1013,2023-11-18,56.01,1
T598,C1278,2023-09-04,8.72,24
T599,C1294,2024-04-13,34.26,42
T600,C1015,2023-03-31,13.72,6
T601,C1203,2023-09-28,30.97,9
T602,C1230,2024-04-23,169.58,12
T603,C1029,2023-12-26,43.24,11
T604,C1109,2023-01-23,31.85,16
T605,C1221,2024-04-19,17.0,28
T606,C1260,2023-08-01,48.39,21
T607,C1159,2024-01-29,112.58,34
T608,C1088,2024-01-14,32.35,30
T609,C1206,2024-01-08,72.82,8
T610,C1100,2023-08-30,64.32,28
T611,C1221,2023-08-24,38.58,39
T612,C1004,2023-02-28,85.01,27
T613,C1297,2023-11-20,43.44,24
T614,C1079,2023-06-18,34.18,10
T615,C1035,2023-08-18,36.34,37
T616,C1034,2023-04-08,65.29,13
T617,C1298,2024-03-07,150.2,18
T618,C1280,2024-06-19,96.05,38
T619,C1143,2023-08-09,35.38,18
T620,C1229,2023-09-03,57.96,49
T621,C1060,2023-09-28,32.14,27
T622,C1279,2023-02-11,30.3,36
T623,C1112,2024-03-14,13.9,33
T624,C1178,2024-05-25,69.52,20
T625,C1109,2023-10-20,38.81,38
T626,C1031,2023-02-05,49.47,10
T627,C1268,2023-07-16,69.62,17
T628,C1230,2023-04-02,20.39,12
T629,C1157,2024-04-24,24.6,31
T630,C1299,2024-04-09,73.16,49
T631,C1020,2023-08-09,27.23,13
T632,C1128,2023-08-07,28.65,5
T633,C1214,2024-05-04,94.33,35
T634,C1103,2023-02-21,53.5,44
T635,C1149,2024-03-31,109.85,20
T636,C1053,2024-07-12,137.17,11
T637,C1244,2023-09-17,119.64,46
T638,C1078,2024-03-13,19.79,1
T639,C1013,2024-02-18,62.89,36
T640,C1051,2024-06-04,93.24,6
T641,C1259,2023-01-20,68.89,4
T642,C1151,2024-02-14,43.42,25
T643,C1267,2023-08-15,26.75,32
T644,C1155,2024-05-13,81.39,45
T645,C1002,2024-05-13,19.64,19
T646,C1240,2023-06-15,16.26,2
T647,C1143,2023-12-03,29.95,16
T648,C1033,2023-10-14,55.6,34
T649,C1036,2023-11-20,112.16,11
T650,C1022,2024-04-27,45.79,2
T651,C1158,2024-01-21,92.38,35
T652,C1203,2024-03-14,28.61,5
T653,C1026,2024-01-29,40.78,42
T654,C1172,2023-05-26,42.82,8
T655,C1266,2023-12-05,34.62,22
T656,C1272,2023-08-08,102.6,24
T657,C1055,2023-09-01,18.94,25
T658,C1080,2023-03-06,101.33,30
T659,C1200,2023-04-17,64.41,17
T660,C1227,2023-07-19,80.48,2
T661,C1196,2023-06-19,32.46,40
T662,C1178,2024-01-05,79.0,34
T663,C1096,2023-06-19,14.69,49
T664,C1277,2023-05-24,50.03,38
T665,C1064,2023-09-07,65.76,23
T666,C1195,2023-11-26,11.42,10
T667,C1274,2024-08-02,33.56,23
T668,C1192,2023-10-23,19.72,27
T669,C1011,2023-07-24,29.96,10
T670,C1058,2023-07-06,43.49,28
T671,C1076,2023-09-17,40.2,14
T672,C1280,2024-06-21,10.87,38
T673,C1098,2023-08-04,77.95,20
T674,C1069,2023-05-23,21.12,36
T675,C1175,2023-12-04,63.03,21
T676,C1133,2024-03-24,32.89,41
T677,C1110,2024-07-03,15.48,9
T678,C1040,2023-06-13,85.78,46
T679,C1033,2024-05-30,46.41,18
T680,C1088,2024-05-11,67.31,20
T681,C1171,2023-08-07,68.64,3
T682,C1007,2023-07-14,63.74,35
T683,C1217,2023-06-04,32.07,14
T684,C1077,2023-07-04,69.51,12
T685,C1211,2024-05-27,88.8,33
T686,C1196,2023-06-30,33.7,14
T687,C1146,2023-10-14,25.33,45
T688,C1190,2024-06-26,35.75,1
T689,C1092,2024-02-02,95.78,11
T690,C1057,2023-03-17,50.15,24
T691,C1003,2023-02-12,114.93,35
T692,C1165,2023-05-10,40.7,2
T693,C1159,2024-05-17,53.86,12
T694,C1035,2023-05-12,117.59,48
T695,C1188,2023-07-01,128.64,47
T696,C1069,2023-11-10,80.59,23
T697,C1132,2023-10-14,24.36,13
